[14:58:20] [WARN ] Failed to parse recipe 'minecraft:hay_block[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:hay_block[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:rabbit_stew_from_red_mushroom[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:rabbit_stew_from_red_mushroom[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:blaze_rod[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:blaze_rod[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:beetroot_soup[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:beetroot_soup[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:golden_leggings[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:golden_leggings[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:wheat[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:wheat[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe 'minecraft:campfire[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [WARN ] Failed to parse recipe minecraft:campfire[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:20] [INFO ] Found 7137 recipes and 0 failed recipes in 216.7 ms
[14:58:20] [INFO ] server_scripts:quark.js:14: - quark:tools/crafting/bundle[minecraft:crafting_shaped]: ['minecraft:string', 'minecraft:rabbit_hide'] -> ['minecraft:bundle']
[14:58:20] [INFO ] server_scripts:quark.js:15: + tfc:leather_knapping: [] -> []
[14:58:20] [INFO ] Posted recipe events in 84.57 ms
[14:58:20] [INFO ] Modified & removed recipes in 148.0 ms
[14:58:20] [INFO ] Added recipes in 137.0 μs
[14:58:20] [INFO ] Added 1 recipes, removed 1 recipes, modified 0 recipes, with 0 failed recipes and 0 fall-backed recipes
